MONTH,PROJECTS,CHAIN,SYMBOL,AVG_APY,AVG_BASE_APY,AVG_REWARD_APY,AVG_TVL_USD,POOL_COUNT
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,PYUSD-USDS,0.24,0.24,0,77704405,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,FRAX-USDE,3.78222,0.05,3.73222,75200247.75,4
2025-10-01T00:00:00.000Z,convex-finance,Ethereum,FRAX-USDE,5.4581175,0.0425,5.4156175,75043772.25,4
2025-10-01T00:00:00.000Z,kamino-lend,Solana,USDC,4.39158,4.39158,,72529194.25,4
2025-10-01T00:00:00.000Z,frax,Ethereum,SFRAX,2.09312,2.09312,,69974075.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Base,STEAKUSDC,7.02281625,6.779875,0.24294375,69916277.25,8
2025-10-01T00:00:00.000Z,pendle,Arbitrum,SUSDAI,34.5408075,34.043735,0.994145,69234282.25,8
2025-10-01T00:00:00.000Z,cap,Ethereum,STCUSD,9.835586667,,,66101675.666667,3
2025-10-01T00:00:00.000Z,pendle,Ethereum,SUSDF,18.821548,17.336536,2.970024,65291489.8,10
2025-10-01T00:00:00.000Z,morpho-blue,Base,MWUSDC,7.0645325,6.7779925,0.28654,65271450.75,4
2025-10-01T00:00:00.000Z,merkl,Base,USDC-MWUSDC,1.08258,,1.08258,65270678.5,4
2025-10-01T00:00:00.000Z,sparklend,Ethereum,SUSDS,0,0,,65056807,4
2025-10-01T00:00:00.000Z,fluid-dex,Ethereum,GHO-USDC,0.3691825,0.3691825,,64770183,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,EUSDE,0,0,,64653136.25,4
2025-10-01T00:00:00.000Z,fluid-dex,Ethereum,USDC-USDT,0.449525,0.449525,,63506411.625,8
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,YUSD,0,,,62887720.75,4
2025-10-01T00:00:00.000Z,aave-v3,Base,USDC,5.6388625,5.6388625,,62041181.5,4
2025-10-01T00:00:00.000Z,venus-core-pool,BSC,USDT,5.49247,5.49247,0,61718430.5,4
2025-10-01T00:00:00.000Z,merkl,Base,SMUSDC-USDC,0.92763,,0.92763,61134742.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Base,SMUSDC,6.894315,6.76352,0.1307975,61108300.75,4
2025-10-01T00:00:00.000Z,stusdt,Tron,STUSDT,4.27134,,,59529834.5,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,VBSHUSDC-USDC,0.344575,,0.344575,59471492.75,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,VBSHUSDC,5.3834625,5.2417425,0.1417225,59470834.25,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,DOLA-SUSDE,6.64791,2.53,4.11791,59301953,4
2025-10-01T00:00:00.000Z,merkl,Arbitrum,GTUSDCC-USDC,5.0401125,,5.0401125,58660072,4
2025-10-01T00:00:00.000Z,infinifi,Ethereum,SIUSD,7.293283333,7.293283333,,56907865,3
2025-10-01T00:00:00.000Z,lista-lending,BSC,USD1,9.816859167,5.840415833,3.9764425,56775647.333333,12
2025-10-01T00:00:00.000Z,pendle,Ethereum,TUSDE,13.645357,13.077856,1.135006,54780936.4,10
2025-10-01T00:00:00.000Z,pendle,Ethereum,SUSDA,4.34513125,4.34058125,0.0090975,54709763.25,8
2025-10-01T00:00:00.000Z,merkl,Ethereum,GTUSDCF-USDC,0.3519575,,0.3519575,54494250,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,GTUSDCF,7.9133425,7.9132925,0.00005,54494113.75,4
2025-10-01T00:00:00.000Z,fluid-lending,Arbitrum,USDC,9.6,3.575,6.025,51865905.25,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,SUSDS-USDT,4.405,4.405,0,51165827.5,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,USDC-USDF,8.2634175,1.88,6.3834175,50939985,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,PYUSD-AETHPYUSD,10,,10,50915190,1
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,USDC-RLUSD,11.52085,1.6,9.92085,50344764.75,4
2025-10-01T00:00:00.000Z,merkl,Arbitrum,HYPERUSDC-USDC,3.80638,,3.80638,49938982,4
2025-10-01T00:00:00.000Z,fluid-lending,Ethereum,GHO,10.0575,7.0425,3.015,49514859.75,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,SPARKUSDS,5.6386925,5.6386925,0,49502991.75,4
2025-10-01T00:00:00.000Z,compound-v3,Ethereum,USDC,5.9031125,5.6951125,0.2080025,48738481.25,4
2025-10-01T00:00:00.000Z,convex-finance,Ethereum,DOLA-SUSDE,8.9367075,2.5475,6.3892075,48544558.5,4
2025-10-01T00:00:00.000Z,inverse-finance-firm,Ethereum,DOLA-SUSDE,0,0,,48040227,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,USD0-USD0++,0.2925,0.2925,0,45948655.25,4
2025-10-01T00:00:00.000Z,tectonic,Cronos,USDT,0.1549325,0.1540875,0.00113,43409701.5,4
2025-10-01T00:00:00.000Z,echelon-market,Aptos,SUSDE,6.5567725,0.1303025,6.42647,43335971.75,4
2025-10-01T00:00:00.000Z,frax,Ethereum,SFRXUSD,5.36769,5.36769,,43180520.5,4
